This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1016894
Number of nonzeros in inequality constraint Jacobian.:       12
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3259
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      808
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3078
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 173  1.0501355e-02 5.69e-04 4.37e-03  -4.0 8.18e-02    -  1.00e+00 1.00e+00h  1
 174  1.0513452e-02 2.31e-03 1.73e-02  -4.0 3.58e-01    -  1.00e+00 5.00e-01h  2
 175  1.0713268e-02 1.65e-03 3.12e-02  -4.1 4.95e-01    -  1.00e+00 1.00e+00H  1
 176  1.0567566e-02 2.79e-03 7.61e-02  -4.1 6.27e-01    -  1.00e+00 2.50e-01h  3
 177  1.0399351e-02 2.69e-03 6.72e-02  -4.1 3.22e-01    -  1.00e+00 5.00e-01h  2
 178  1.0356894e-02 3.10e-03 4.92e-01  -4.0 2.58e-01    -  1.00e+00 5.00e-01h  2
 179  1.0362517e-02 1.11e-03 5.25e-03  -4.0 9.75e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.0352638e-02 1.58e-03 1.31e-02  -4.0 1.33e-01    -  1.00e+00 1.00e+00h  1
 181  1.0359311e-02 9.82e-04 4.06e-02  -4.0 2.77e-01    -  1.00e+00 5.00e-01h  2
 182  1.0319370e-02 8.50e-04 8.13e-03  -4.0 7.88e-02    -  1.00e+00 1.00e+00h  1
 183  1.0327148e-02 4.25e-04 1.51e-02  -4.0 4.55e-02    -  1.00e+00 1.00e+00h  1
 184  1.0325441e-02 1.62e-04 7.31e-03  -4.0 5.31e-02    -  1.00e+00 1.00e+00h  1
 185  1.0327489e-02 9.16e-04 8.64e-02  -4.0 2.64e-01    -  1.00e+00 5.00e-01h  2
 186  1.0333838e-02 3.15e-03 5.11e-01  -4.1 4.93e-01    -  1.00e+00 5.00e-01h  2
